HTTP Code,Download Time,Download Size,URL
07/21/2014 10:52:21 AM,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:52:21 AM,200,0.308,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:52:52 AM,200,1.045,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:52:52 AM,200,0.032,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:52:52 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:52:52 AM,200,0.023,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:52:52 AM,200,3.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:52:52 AM,200,1.535,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:53:27 AM,200,0.047,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:53:27 AM,200,0.027,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:53:27 AM,200,0.026,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:53:27 AM,200,0.034,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:53:27 AM,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:53:27 AM,200,0.555,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:53:58 AM,200,0.048,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:53:58 AM,200,0.198,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:53:58 AM,200,0.031,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:53:58 AM,200,0.027,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:53:58 AM,200,0.025,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:53:58 AM,200,0.475,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:54:29 AM,200,0.048,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:54:29 AM,200,0.028,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:54:29 AM,200,0.027,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:54:29 AM,200,0.036,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:54:29 AM,200,0.285,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
